experiment,method,seed,evaluation_split,parameters,algorithm_time,compilation_time,drift_rmse,covariance_rmse,nll,raw_spd_violation_rate,min_raw_eigenvalue
ex2,mlp_deep,12,validation,9417,8.833951842971146,9.92860661499435,0.02641088142991066,0.0001936610642587766,-11.604886054992676,0.0,5.834971307194792e-05
ex2,mlp_deep,13,validation,9417,8.819120876025409,9.900148919958156,0.029405439272522926,0.00018624313815962523,-11.602871894836426,0.0,5.868152584298514e-05
ex2,mlp_deep,14,validation,9417,9.062640937045217,10.085244528017938,0.02742709219455719,0.00018180441111326218,-11.604031562805176,0.0,5.856939606019296e-05
ex2,mlp_deep,15,validation,9417,9.02571065200027,10.874459909042343,0.026971880346536636,0.00017083897546399385,-11.607243537902832,0.0,5.758856423199177e-05
ex2,mlp_deep,16,validation,9417,8.771024046989623,9.559076828008983,0.029798712581396103,0.00017211113299708813,-11.606822967529297,0.0,5.7316559832543135e-05
ex2,mlp_deep,17,validation,9417,8.786081540980376,10.249671794008464,0.028058882802724838,0.00017631282389629632,-11.603750228881836,0.0,5.757281542173587e-05
ex2,mlp_deep,18,validation,9417,8.503004444006365,10.460797769017518,0.024885034188628197,0.00018317894136998802,-11.605646133422852,0.0,5.833380782860331e-05
ex2,mlp_deep,19,validation,9417,8.876098997017834,10.47060144401621,0.027700014412403107,0.00018459621060173959,-11.606278419494629,0.0,5.836748823639937e-05
ex2,mlp_deep,20,validation,9417,8.300468096975237,9.859641990973614,0.02890598587691784,0.00017055164789780974,-11.601999282836914,0.0,5.738418985856697e-05
ex2,mlp_deep,21,validation,9417,8.251145863032434,9.90180427802261,0.0293766837567091,0.00018318519869353622,-11.60499095916748,0.0,5.855667404830456e-05
ex2,mlp_deep,22,validation,9417,8.603004681004677,9.975894829956815,0.027796966955065727,0.0001752750831656158,-11.604219436645508,0.0,5.755586244049482e-05
ex2,mlp_deep,23,validation,9417,8.983989408006892,10.124168418929912,0.027653256431221962,0.00018121040193364024,-11.604605674743652,0.0,5.8620109484763816e-05
ex2,mlp_deep,24,validation,9417,8.138361121003982,10.02872791403206,0.027021048590540886,0.0001840142358560115,-11.60310173034668,0.0,5.8464462199481204e-05
ex2,mlp_deep,25,validation,9417,8.35885378299281,10.365650807972997,0.02697187103331089,0.0001443052606191486,-11.604779243469238,0.0,5.9080281062051654e-05
ex2,mlp_deep,26,validation,9417,9.023467821010854,10.522983260045294,0.02738579548895359,0.00017543889407534152,-11.604599952697754,0.0,5.771461655967869e-05
ex2,mlp_deep,27,validation,9417,8.783694933983497,10.38928690290777,0.029074952006340027,0.00018416382954455912,-11.603809356689453,0.0,5.855537892784923e-05
ex2,mlp_deep,28,validation,9417,8.301302149950061,10.21379092906136,0.025993742048740387,0.0001881068164948374,-11.605158805847168,0.0,5.838860306539573e-05
ex2,mlp_deep,29,validation,9417,8.511805586982518,10.251288309984375,0.027424855157732964,0.00018579275638330728,-11.605512619018555,0.0,5.840577796334401e-05
