iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
129,4388.65771484375,0.8896484375,850.6000174302809,601,9,38.06741437452156,13.35260913190308,10.453922766498435,b8e4b978cc592776db2253882a9d2e4dd208cb65746d579ac1ccdc70a600785a,215ee8f42ffc01765964cc0a021ce8ed409182e822ebc9fe804b3748aa1eedf6,5156.9873046875
130,4382.65673828125,0.8720703125,853.0698125831562,618,6,37.924974335096515,13.362847619437051,10.471228565454348,fb7497be375afdc1da53193d76151b1cd4cd5b348a4ee3f0c722cbd0eb1866c6,49c0007740ff10c519268d265c48c73d007ce36a739934753791a651dff5a757,5148.3251953125
131,4392.5849609375,0.8828125,865.9405143192364,594,6,38.23611885003798,13.475512326362947,10.314178585667594,07eac683a783697c6c982b571db70cd14efdfe8646fb18d89e88e944c8e64192,c2004f894d8f5a4bed4a442522312863bf68da1feec4d367a40113f40916a58b,5137.2353515625
132,4388.11376953125,0.8798828125,846.2952788988797,612,6,38.31647373547378,13.786802599424258,10.550908878568842,d468c3714b8faf23e85efa99b9dea44a72c967224af0cd94e379588ec70b9045,e4f4ff4f86fdea5afbd1cf0d854d46f22436b1c075bc0d7b05d8b2073aa8bf30,5151.12158203125
133,4379.16162109375,0.8896484375,846.3049219415959,623,7,38.324983245190076,13.600659358348347,10.631449051837318,76d8645dfd17560e54063b4627aec527906771810ffb04815eb66d027afe4f7b,31fe1b24d6668ffe90d2d774dd9fa7b912f72280322cbfa227ec6812924394b9,5160.65966796875
134,4378.09619140625,0.9013671875,849.3040879378614,628,6,38.894815659781685,13.61941656242436,10.610002145759866,e2d020e5a3c9736efd4137f1d8a0506b490aeee6ce6113adc29b53f044540a13,3edb5c96548a68799efa1a58bc7891057f902ecb6db8c81baab8fd0f0ed9b2b6,5140.462890625
135,4381.24609375,0.890625,844.5884387696531,591,6,38.32613459051079,13.738984026261662,10.396291678950519,7d9eb30b17a98c91b4f17de8481928ddd91f5be1ead5105d2301d541259db7dc,85416461dd8c7a8e077d3583834e383182ae1677a61af1ee677c32d8fd99692d,5125.1171875
136,4380.4208984375,0.8779296875,844.0842798223138,604,7,38.543359254013666,13.794350312366971,10.700727133239157,a13d67f93b12e03a6b5aa868424ae434e1cee251f5b12cd234f076910aa6b0d8,f7723c65c42ee13d746cc1dbde474650e432a4697905d2f695f0e47d4c984cf2,5125.3505859375
137,4381.2314453125,0.892578125,853.6571013779586,622,7,38.59264979217404,13.721648431845768,10.759347296433086,33fd166ea8454f57e5896fae1ef3f114a0ffd7bc8b0e720bd3c0435cc12624a8,997c25e067d4fe9c8364cade04f0ee749cf705e1dadd964808cc67317d6a1b67,5122.19140625
138,4378.2158203125,0.8701171875,858.9541571429922,612,6,38.801410500710894,13.881634442393551,10.971657082079892,acaaef2814d564d5ceb6c4b973dec6aa336759855f8e6b8dce5737826b634aac,37b244ab35b16cb2942c471181b725f2b603648c4a50fbe844dba7653df9114c,5140.5595703125
139,4371.166015625,0.8720703125,852.8522894598416,616,7,39.09638370495213,14.027582420856294,10.897215286401298,0f879011d531c93400bc4dce01248eea765979d6bf50fe58547f99e4e44d2230,6358c2c732a88bfc406125223354ff13613521d934f9f4388ad21a30334273a5,5163.03662109375
140,4373.5908203125,0.8857421875,853.2305923623896,633,6,39.27013902563062,13.915745563305666,10.78782863366514,005bacf55fcae4ed4ec3403674f6b9286c3726ed9849a45bde165c0430b7cc6d,1224feb3c937b8cc9903907666ab4e43d1e2e2b58d222db1ef88773fe616eac7,5163.26513671875
141,4370.52001953125,0.890625,849.8174918493038,618,7,40.06322661281521,14.020538740669055,11.099569417542506,8850aee010bbb31b8f3132f98579badbe3bd8f8dc48f483abd8e9f8853f2da93,96ad784c2bd6386d1b432892d4b7aadbdf7e83a7b397ab32b986bf5e02ca0b1d,5188.994140625
142,4369.98779296875,0.90625,843.5569984775759,613,7,40.19989932472198,14.008272217648653,11.152104668585078,397dc3165bf1a9d8bb5d8b0a8eb37bff662dd899903e03fae56605b5164e8d90,55f89ef4e472174a3fc47921c2c1a350884db9ee3ceb63f0d022f54ccef95f80,5145.4384765625
143,4362.26220703125,0.884765625,854.3910479315841,608,6,39.8146937994077,14.087470970837824,10.901670365281369,29974ad7c2aff52733f247af6b53a7f2bd792898f7ade339b59be3a6d388db20,5ed7a098239e9b9f82f28a9f5f64083127690692c982c4e93a1e196b0a4d88e1,5157.4716796875
144,4368.37353515625,0.90234375,858.4874059528654,615,6,39.498452066166166,14.089751812261095,10.942995173759895,2a71a783693e86d554cc28e2e7f0a2cb44a77a0769c707e89391df8210060ab9,cb2e60134f8238d86cd48412f11465ce5a80d2e05d5e082948d49a012ba54383,5177.99462890625
145,4362.08935546875,0.884765625,858.2049896098209,612,7,40.40920549707506,13.935672993705209,11.043787546368435,bad19f724d77d556c62fd63153fcb17927842d1776fc85888918cc01aa37b4cb,70a5e7f626efc96c7a1efa0e10e63ed7fd1e4dbacdcdbd32a072417488c3c458,5196.9912109375
146,4365.02392578125,0.888671875,857.5405140967122,618,8,41.03388972784343,13.944835506017277,11.120955773239576,0e24e61fabc50ba6224350662e2e2721c773866c6106a836ad447d19dd1bbfc5,622da5a59af64d372699309f58e3b357f6ffa030825c3b2a7ab7de1c1abf9ead,5193.13330078125
147,4365.7724609375,0.8671875,842.541997565642,617,7,40.749532423359284,14.066293475230864,11.167325193850015,3c0e8d9d1c262dea08bc51f98a9324f06e1e8ee6ddae717e914fe0c8fe6ee2a6,8adb56947776c90fb33ea9bf2688dce76efbebf02f439fb49d060748cbf8f01f,5199.89501953125
148,4369.2119140625,0.8583984375,836.1801152412795,597,7,40.00892149958377,14.112876845466397,11.2931942099929,42ec62114939d49c9ebabb939e058c7b63f47f56da89d839ac4068c96ae476e7,bd50fa41898641b628716b23972c7d9026cbcd054888b859141007699cadd35f,5170.73876953125
