method,seed,split,nll,drift_rmse,covariance_rmse,min_raw_eigenvalue,min_covariance_eig,raw_spd_violation_rate,numerical_nonpositive_eig_rate
arff,13,train,-8.81740951538086,1.0216960906982422,0.11431251466274261,-0.1786247342824936,,0.4513624906539917,
arff,13,validation,-8.834721565246582,1.030583143234253,0.11260387301445007,-0.16832779347896576,,0.4509999752044678,
arff,13,test,-8.81551742553711,1.0319876670837402,0.11386755853891373,-0.1721600890159607,,0.4504999816417694,
arff,14,train,-8.80894947052002,0.9453473687171936,0.11708863824605942,-0.18392087519168854,,0.4562374949455261,
arff,14,validation,-8.84480094909668,0.9536938071250916,0.11571945995092392,-0.18315936625003815,,0.45419999957084656,
arff,14,test,-8.845775604248047,0.951714038848877,0.11639048904180527,-0.18316738307476044,,0.45639997720718384,
arff,15,train,-8.892840385437012,0.7060988545417786,0.1168413758277893,-0.14351442456245422,,0.4586374759674072,
arff,15,validation,-8.920557975769043,0.7066602110862732,0.11514031141996384,-0.14300140738487244,,0.4601999819278717,
arff,15,test,-8.917680740356445,0.7067585587501526,0.1167832687497139,-0.14147990942001343,,0.4601999819278717,
arff,16,train,-8.695940017700195,0.7511014342308044,0.11901285499334335,-0.23890435695648193,,0.4416249990463257,
arff,16,validation,-8.680891990661621,0.755828857421875,0.11743728071451187,-0.223829448223114,,0.43869999051094055,
arff,16,test,-8.695746421813965,0.7555727958679199,0.11830045282840729,-0.1946774125099182,,0.44110000133514404,
arff,17,train,-8.84128475189209,0.6934696435928345,0.113311767578125,-0.14076697826385498,,0.4553374946117401,
arff,17,validation,-8.861083030700684,0.6932438611984253,0.11121664196252823,-0.14034447073936462,,0.44759997725486755,
arff,17,test,-8.857766151428223,0.6937564015388489,0.11348813027143478,-0.13751783967018127,,0.4584999978542328,
arff,18,train,-8.856698989868164,0.7321969270706177,0.11474739015102386,-0.1777697503566742,,0.4599999785423279,
arff,18,validation,-8.879197120666504,0.7339577674865723,0.11294624209403992,-0.1774987280368805,,0.4536999762058258,
arff,18,test,-8.831450462341309,0.7358742356300354,0.11415659636259079,-0.1771005094051361,,0.4542999863624573,
arff,19,train,-8.998946189880371,0.7367613315582275,0.11286807805299759,-0.1590968668460846,,0.4571249783039093,
arff,19,validation,-9.0299711227417,0.7419365048408508,0.11083759367465973,-0.15756753087043762,,0.45089998841285706,
arff,19,test,-9.035924911499023,0.7365716695785522,0.11248848587274551,-0.15849409997463226,,0.45829999446868896,
arff,20,train,-8.972463607788086,1.1216444969177246,0.11459547281265259,-0.1740597039461136,,0.4502749741077423,
arff,20,validation,-8.978944778442383,1.1314735412597656,0.11251018196344376,-0.16882465779781342,,0.44529998302459717,
arff,20,test,-8.988597869873047,1.1249446868896484,0.11465784907341003,-0.15476782619953156,,0.45239999890327454,
arff,21,train,-8.86315631866455,2.412288188934326,0.11583080887794495,-0.16990478336811066,,0.42863747477531433,
arff,21,validation,-8.890947341918945,2.4316203594207764,0.11435435712337494,-0.1686081737279892,,0.43320000171661377,
arff,21,test,-8.876962661743164,2.403005599975586,0.1153813824057579,-0.16729126870632172,,0.4291999936103821,
arff,22,train,-8.903770446777344,0.6167637705802917,0.11269980669021606,-0.166102334856987,,0.44536247849464417,
arff,22,validation,-8.949223518371582,0.6185095906257629,0.11069846153259277,-0.16535146534442902,,0.4486999809741974,
