K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_mlp,9,regime_capacity,h_0.0001,887,4798.324092568015,,-10.633124571228027,0.40869225181779384,0.2587215700976348,,-10.683911125183105,0.41087480052547787,0.25629573260876615,,-10.655781315612794,0.40864750544847994,0.26065855893362117,,1,296,1.4555660527548753e-05,1.4598736015614122e-05,1.4611571714340243e-05,,,,,,0.0,0.0,0.0
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,0,regime_capacity,h_0.0001,1792,892.4075922699412,281,-8.68409634,0.116992719,0.704096556,2.29475904e-06,-8.71701431,0.117444523,0.711253226,2.22119002e-06,-8.67861176,0.115658768,0.699313283,2.48575543e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,1,regime_capacity,h_0.0001,1792,848.5315951539669,296,-8.8436985,0.19359611,0.865241528,1.51482448e-06,-8.88400841,0.193394229,0.873071849,1.92292714e-06,-8.85494041,0.192372039,0.852976561,2.00860177e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,2,regime_capacity,h_0.0001,1792,883.5266986329807,297,-8.80881977,0.16784972,1.31832135,1.41190969e-06,-8.84556866,0.168335199,1.30846429,1.53270969e-06,-8.8292017,0.166368738,1.27939308,1.5612153e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,3,regime_capacity,h_0.0001,1792,918.4639443899505,299,-8.83101654,0.173422635,1.40570474,1.50295773e-06,-8.86932182,0.174100608,1.3952769,1.75582477e-06,-8.8174839,0.172654063,1.37477577,1.74869797e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,4,regime_capacity,h_0.0001,1792,888.6486160379136,294,-8.93885612,0.155274376,0.973539948,1.55680777e-06,-8.97450256,0.155560181,0.979193032,1.64189544e-06,-8.92621326,0.154648453,0.962620854,1.67018686e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,5,regime_capacity,h_0.0001,1792,854.641441387008,292,-8.95243645,0.14703086,1.47461748,1.08842801e-06,-8.98111629,0.14743799,1.47996712,1.39776068e-06,-8.94964027,0.145485327,1.44796109,1.35440257e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,6,regime_capacity,h_0.0001,1792,882.1826530509861,299,-8.68685532,0.148988694,1.07406294,1.31829086e-06,-8.71933365,0.149070606,1.09020758,1.41446742e-06,-8.69006824,0.147918835,1.06128871,1.53055726e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,7,regime_capacity,h_0.0001,1792,844.1994936800329,298,-8.94305325,0.15551959,1.13738275,3.71022747e-06,-8.98940086,0.154671028,1.13797545,3.72263617e-06,-8.95256996,0.154577374,1.11765873,3.76656158e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,8,regime_capacity,h_0.0001,1792,875.9112614950864,293,-8.90429497,0.158491358,1.02304339,3.09397524e-06,-8.94074631,0.157181188,1.03037119,3.34272318e-06,-8.91520786,0.15773946,1.00516844,3.32584227e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,joint_fourier,9,regime_capacity,h_0.0001,1792,841.9719096929766,297,-8.93642426,0.14915508,1.07134497,1.98803218e-06,-8.96493435,0.14938207,1.06394506,2.12694476e-06,-8.92382431,0.148067951,1.04541922,2.09092013e-06,,,,,,,,,,,,,
128,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,0,regime_capacity,h_0.0001,1792,4595.120967823081,,-8.694093704223633,0.2186446636915207,0.6936480402946472,,-8.720635414123535,0.22002281248569489,0.700944721698761,,-8.690728187561035,0.21797050535678864,0.6905744671821594,,4,286,3.332515234433231e-06,3.461287178652128e-06,3.5764619497058447e-06,,,,,,,,
